City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,general villegas,-35.0328,-63.0125,19.84,13,0,2.86,AR,1697129148
202,makar'yev,57.8797,43.8069,8.65,91,100,6.63,RU,1697129148
203,coronel dorrego,-38.7187,-61.2873,19.12,18,0,2.07,AR,1697129148
204,mount isa,-20.7333,139.5,16.87,72,40,0.51,AU,1697129149
205,cockburn town,21.4612,-71.1419,29.3,75,100,6.62,TC,1697129149
206,plymouth,41.8334,-70.8328,21.85,54,0,2.57,US,1697129093
207,majie,25.0333,102.6361,13.99,100,40,2.0,CN,1697129149
208,sandnessjoen,66.0217,12.6316,7.06,81,75,2.57,NO,1697129150
209,churapcha,62.0025,132.4325,1.79,81,100,2.11,RU,1697129150
210,aykhal,66.0,111.5,-4.41,78,81,4.92,RU,1697129150
211,hadibu,12.65,54.0333,27.46,81,76,3.08,YE,1697129151
212,jiwani,25.05,61.7417,27.86,81,0,2.75,PK,1697129151
213,yuzhno-kurilsk,44.0306,145.8556,12.99,70,15,1.56,RU,1697128950
214,nandigama,16.7833,80.3,25.25,84,66,2.44,IN,1697129152
215,bundi,25.4417,75.6417,28.16,32,0,1.35,IN,1697129152
216,gorontalo,0.5412,123.0595,22.65,90,91,1.01,ID,1697129152
217,susuman,62.7833,148.1667,-12.23,77,100,0.89,RU,1697128952
218,ceerigaabo,10.6162,47.368,20.18,62,95,1.69,SO,1697128962
219,ar rutbah,33.0381,40.2848,25.02,32,0,3.43,IQ,1697129153
220,mikun',62.3547,50.0771,3.22,100,100,3.8,RU,1697129153
221,povolzhskiy,53.5854,49.7629,8.12,42,100,11.14,RU,1697129154
222,banda aceh,5.5577,95.3222,26.51,82,59,3.17,ID,1697129154
223,minas de marcona,-15.2119,-75.1103,19.26,59,86,5.94,PE,1697129154
224,mcpherson,38.3708,-97.6642,20.66,75,100,12.39,US,1697129155
225,quellon,-43.1167,-73.6167,8.87,66,87,4.55,CL,1697129155
226,garh maharaja,30.8339,71.9053,27.39,17,0,2.44,PK,1697129155
227,klyuchi,52.2667,79.1667,6.37,86,100,1.34,RU,1697129156
228,tsiombe,-25.3,45.4833,21.59,74,59,7.12,MG,1697129156
229,dellys,36.9172,3.9131,24.39,57,1,2.08,DZ,1697129156
230,okha,53.5739,142.9478,9.62,80,97,7.35,RU,1697129157
231,hassi messaoud,31.6804,6.0729,30.92,22,0,5.66,DZ,1697129157
232,isafjordur,66.0755,-23.124,2.02,87,100,14.92,IS,1697128969
